url_length,num_dots,has_hyphen,has_at_symbol,path_length,query_length,num_params,tld_length,uses_https,url_depth,has_ip,domain_length,num_subdomains,contains_suspicious_word,hostname_length,has_port,num_special_chars,is_shortened,fragment_length,double_slash_pos,digit_to_length_ratio,num_unique_chars,has_hex_chars,file_extension_length,num_underscores,asn,reverse_dns_present,organisation,dnsssec,is_netblock_trusted,class
36.0,2.0,0.0,0.0,11.0,0.0,0.0,2.0,1.0,2.0,0.0,17.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,6.0,0.1111111111111111,20.0,0.0,0.0,0.0,16509.0,1.0,1.0,1.0,0,0.0
60.0,4.0,0.0,0.0,31.0,0.0,0.0,2.0,1.0,3.0,0.0,21.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,6.0,0.0666666666666666,30.0,0.0,4.0,1.0,224.0,0.0,1.0,1.0,0,0.0
36.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,27.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0,13335.0,0.0,1.0,1.0,1,1.0
50.0,1.0,0.0,0.0,33.0,0.0,0.0,3.0,1.0,3.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,0.0,0.0,0.0,7684.0,0.0,0.0,1.0,0,0.0
127.0,2.0,0.0,0.0,102.0,0.0,0.0,3.0,1.0,6.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,6.0,0.0629921259842519,29.0,0.0,4.0,0.0,13335.0,0.0,1.0,1.0,1,0.0
67.0,3.0,1.0,0.0,12.0,29.0,3.0,2.0,1.0,1.0,0.0,17.0,1.0,0.0,17.0,0.0,6.0,0.0,0.0,6.0,0.074626866,32.0,0.0,3.0,1.0,57854.0,1.0,0.0,1.0,0,0.0
45.0,2.0,0.0,0.0,13.0,8.0,1.0,2.0,1.0,1.0,0.0,15.0,1.0,0.0,15.0,0.0,2.0,0.0,0.0,6.0,0.0444444444444444,25.0,0.0,0.0,0.0,29182.0,1.0,0.0,1.0,0,0.0
70.0,1.0,0.0,0.0,46.0,0.0,0.0,2.0,1.0,1.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,0.1571428571428571,29.0,0.0,0.0,0.0,13335.0,0.0,0.0,1.0,1,0.0
654.0,2.0,0.0,0.0,625.0,0.0,0.0,3.0,0.0,2.0,0.0,22.0,1.0,0.0,22.0,0.0,0.0,1.0,0.0,5.0,0.1636085626911315,67.0,0.0,0.0,10.0,396982.0,1.0,1.0,1.0,1,1.0
31.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,22.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0,27647.0,1.0,1.0,1.0,0,1.0
39.0,1.0,0.0,0.0,17.0,0.0,0.0,2.0,1.0,5.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0,0.3076923076923077,24.0,0.0,0.0,0.0,131965.0,1.0,1.0,1.0,0,0.0
61.0,1.0,0.0,0.0,41.0,0.0,0.0,3.0,1.0,4.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,0.0,0.0,0.0,399250.0,1.0,0.0,1.0,0,0.0
58.0,2.0,1.0,0.0,30.0,0.0,0.0,3.0,1.0,1.0,0.0,20.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,0.0,0.0,0.0,396982.0,1.0,0.0,1.0,1,0.0
66.0,2.0,0.0,0.0,42.0,0.0,0.0,3.0,1.0,3.0,0.0,16.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,21.0,0.0,0.0,0.0,15169.0,1.0,1.0,1.0,1,1.0
47.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,40.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,0.0,0.0,0.0,16509.0,0.0,1.0,1.0,0,1.0
36.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0,13335.0,0.0,1.0,1.0,1,1.0
62.0,1.0,1.0,0.0,25.0,0.0,0.0,2.0,1.0,4.0,0.0,29.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,6.0,0.0,20.0,0.0,0.0,0.0,16276.0,1.0,1.0,1.0,0,0.0
34.0,1.0,0.0,0.0,9.0,0.0,0.0,3.0,1.0,2.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,6.0,0.1764705882352941,21.0,0.0,0.0,0.0,47302.0,1.0,0.0,1.0,0,0.0
30.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,22.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,13335.0,0.0,1.0,1.0,1,1.0
41.0,2.0,1.0,0.0,14.0,0.0,0.0,2.0,1.0,1.0,0.0,19.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,6.0,0.048780487804878,27.0,0.0,0.0,1.0,54113.0,1.0,1.0,1.0,1,1.0
59.0,2.0,1.0,0.0,30.0,0.0,0.0,3.0,1.0,1.0,0.0,21.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,6.0,0.13559322,33.0,0.0,0.0,0.0,13335.0,0.0,1.0,1.0,1,1.0
87.0,3.0,0.0,0.0,8.0,49.0,2.0,2.0,1.0,1.0,0.0,21.0,1.0,0.0,21.0,0.0,4.0,0.0,0.0,6.0,0.2183908045977011,32.0,0.0,3.0,0.0,48324.0,1.0,0.0,1.0,0,0.0
94.0,2.0,0.0,0.0,23.0,52.0,4.0,3.0,0.0,3.0,0.0,11.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,5.0,0.1595744680851064,34.0,0.0,3.0,1.0,3786,0.0,1.0,1.0,0,0.0
